date_requested,from_utc,to_utc,forecast_gco2_per_kwh,actual_gco2_per_kwh,index,from_uk,to_uk,date_uk,hour_uk,time_uk
2026-06-22,2026-06-22 15:00:00+00:00,2026-06-22 15:30:00+00:00,117,140,moderate,2026-06-22 16:00:00+01:00,2026-06-22 16:30:00+01:00,2026-06-22,16,16:00:00
2026-06-22,2026-06-22 15:30:00+00:00,2026-06-22 16:00:00+00:00,131,157,moderate,2026-06-22 16:30:00+01:00,2026-06-22 17:00:00+01:00,2026-06-22,16,16:30:00
2026-06-22,2026-06-22 16:00:00+00:00,2026-06-22 16:30:00+00:00,147,167,moderate,2026-06-22 17:00:00+01:00,2026-06-22 17:30:00+01:00,2026-06-22,17,17:00:00
2026-06-22,2026-06-22 16:30:00+00:00,2026-06-22 17:00:00+00:00,157,175,high,2026-06-22 17:30:00+01:00,2026-06-22 18:00:00+01:00,2026-06-22,17,17:30:00
2026-06-22,2026-06-22 17:00:00+00:00,2026-06-22 17:30:00+00:00,172,183,high,2026-06-22 18:00:00+01:00,2026-06-22 18:30:00+01:00,2026-06-22,18,18:00:00
2026-06-22,2026-06-22 17:30:00+00:00,2026-06-22 18:00:00+00:00,181,193,high,2026-06-22 18:30:00+01:00,2026-06-22 19:00:00+01:00,2026-06-22,18,18:30:00
2026-06-22,2026-06-22 18:00:00+00:00,2026-06-22 18:30:00+00:00,192,200,high,2026-06-22 19:00:00+01:00,2026-06-22 19:30:00+01:00,2026-06-22,19,19:00:00
2026-06-22,2026-06-22 18:30:00+00:00,2026-06-22 19:00:00+00:00,193,206,high,2026-06-22 19:30:00+01:00,2026-06-22 20:00:00+01:00,2026-06-22,19,19:30:00
2026-06-22,2026-06-22 19:00:00+00:00,2026-06-22 19:30:00+00:00,204,211,high,2026-06-22 20:00:00+01:00,2026-06-22 20:30:00+01:00,2026-06-22,20,20:00:00
2026-06-22,2026-06-22 19:30:00+00:00,2026-06-22 20:00:00+00:00,204,213,high,2026-06-22 20:30:00+01:00,2026-06-22 21:00:00+01:00,2026-06-22,20,20:30:00
2026-06-22,2026-06-22 20:00:00+00:00,2026-06-22 20:30:00+00:00,217,214,high,2026-06-22 21:00:00+01:00,2026-06-22 21:30:00+01:00,2026-06-22,21,21:00:00
2026-06-22,2026-06-22 20:30:00+00:00,2026-06-22 21:00:00+00:00,214,220,high,2026-06-22 21:30:00+01:00,2026-06-22 22:00:00+01:00,2026-06-22,21,21:30:00
2026-06-22,2026-06-22 21:00:00+00:00,2026-06-22 21:30:00+00:00,220,210,high,2026-06-22 22:00:00+01:00,2026-06-22 22:30:00+01:00,2026-06-22,22,22:00:00
2026-06-22,2026-06-22 21:30:00+00:00,2026-06-22 22:00:00+00:00,214,208,high,2026-06-22 22:30:00+01:00,2026-06-22 23:00:00+01:00,2026-06-22,22,22:30:00
2026-06-22,2026-06-22 22:00:00+00:00,2026-06-22 22:30:00+00:00,207,204,high,2026-06-22 23:00:00+01:00,2026-06-22 23:30:00+01:00,2026-06-22,23,23:00:00
2026-06-22,2026-06-22 22:30:00+00:00,2026-06-22 23:00:00+00:00,207,204,high,2026-06-22 23:30:00+01:00,2026-06-23 00:00:00+01:00,2026-06-22,23,23:30:00
2026-06-23,2026-06-22 23:00:00+00:00,2026-06-22 23:30:00+00:00,202,201,high,2026-06-23 00:00:00+01:00,2026-06-23 00:30:00+01:00,2026-06-23,0,00:00:00
2026-06-23,2026-06-22 23:30:00+00:00,2026-06-23 00:00:00+00:00,197,195,high,2026-06-23 00:30:00+01:00,2026-06-23 01:00:00+01:00,2026-06-23,0,00:30:00
2026-06-23,2026-06-23 00:00:00+00:00,2026-06-23 00:30:00+00:00,203,198,high,2026-06-23 01:00:00+01:00,2026-06-23 01:30:00+01:00,2026-06-23,1,01:00:00
2026-06-23,2026-06-23 00:30:00+00:00,2026-06-23 01:00:00+00:00,199,204,high,2026-06-23 01:30:00+01:00,2026-06-23 02:00:00+01:00,2026-06-23,1,01:30:00
2026-06-23,2026-06-23 01:00:00+00:00,2026-06-23 01:30:00+00:00,206,210,high,2026-06-23 02:00:00+01:00,2026-06-23 02:30:00+01:00,2026-06-23,2,02:00:00
2026-06-23,2026-06-23 01:30:00+00:00,2026-06-23 02:00:00+00:00,206,217,high,2026-06-23 02:30:00+01:00,2026-06-23 03:00:00+01:00,2026-06-23,2,02:30:00
2026-06-23,2026-06-23 02:00:00+00:00,2026-06-23 02:30:00+00:00,212,218,high,2026-06-23 03:00:00+01:00,2026-06-23 03:30:00+01:00,2026-06-23,3,03:00:00
2026-06-23,2026-06-23 02:30:00+00:00,2026-06-23 03:00:00+00:00,218,218,high,2026-06-23 03:30:00+01:00,2026-06-23 04:00:00+01:00,2026-06-23,3,03:30:00
2026-06-23,2026-06-23 03:00:00+00:00,2026-06-23 03:30:00+00:00,221,217,high,2026-06-23 04:00:00+01:00,2026-06-23 04:30:00+01:00,2026-06-23,4,04:00:00
2026-06-23,2026-06-23 03:30:00+00:00,2026-06-23 04:00:00+00:00,218,223,high,2026-06-23 04:30:00+01:00,2026-06-23 05:00:00+01:00,2026-06-23,4,04:30:00
