sched_name,electricity_used_mwh,hydrogen_produced_kg,electricity_cost_gbp,actual_emissions_kgco2,actual_emissions_tco2,forecast_emissions_kgco2,avg_price_paid_gbp_per_mwh,weighted_actual_carbon_gco2_per_kwh,weighted_forecast_carbon_gco2_per_kwh,cost_saving_vs_baseline_pct,actual_emissions_saving_vs_baseline_pct
Baseline even op,105.0,2100.0,11546.10925284659,16614.0625,16.6140625,16465.0,109.96294526520562,158.22916666666666,156.8095238095238,0.0,0.0
Cost min,105.0,2100.0,7382.428064865326,15408.0,15.408,15438.0,70.3088387130031,146.74285714285713,147.02857142857144,36.0613354403757,7.259287124988243
Forecast carbon min,105.0,2100.0,10047.944814525055,13932.5,13.9325,13475.5,95.69471251928624,132.6904761904762,128.33809523809524,12.975491618115221,16.140317878303396
Actual carbon min,105.0,2100.0,9000.190033240418,13731.5,13.7315,13603.5,85.71609555467064,130.77619047619046,129.55714285714285,22.05001844217348,17.35013636791122
Balanced cost-carbon,105.0,2100.0,7479.89285792109,14701.5,14.7015,14687.5,71.23707483734371,140.0142857142857,139.88095238095238,35.21720006176983,11.511708830997836
