sched_name,electricity_used_mwh,hydrogen_produced_kg,electricity_cost_gbp,actual_emissions_kgco2,actual_emissions_tco2,forecast_emissions_kgco2,avg_price_paid_gbp_per_mwh,weighted_actual_carbon_gco2_per_kwh,weighted_forecast_carbon_gco2_per_kwh,carbon_value_gbp_per_tco2,cost_saving_vs_baseline_pct,actual_emissions_saving_vs_baseline_pct
Balanced £132/tCO2,105.0,2100.0,7419.912875448931,15082.5,15.0825,15030.0,70.66583690903744,143.64285714285714,143.14285714285714,132,35.736682262731776,9.21847079845763
Balanced £264/tCO2,105.0,2100.0,7479.89285792109,14701.5,14.7015,14687.5,71.23707483734371,140.0142857142857,139.88095238095238,264,35.21720006176983,11.511708830997836
Balanced £396/tCO2,105.0,2100.0,7535.879686744039,14563.0,14.563,14519.0,71.7702827308956,138.6952380952381,138.27619047619046,396,34.73230226982189,12.345339979309697
