sched_name,electricity_used_mwh,hydrogen_produced_kg,electricity_cost_gbp,actual_emissions_kgco2,actual_emissions_tco2,forecast_emissions_kgco2,avg_price_paid_gbp_per_mwh,weighted_actual_carbon_gco2_per_kwh,weighted_forecast_carbon_gco2_per_kwh,cost_saving_vs_baseline_pct,actual_emissions_saving_vs_baseline_pct,constraint_case,strategy
Cost min,105.0,2100.0,7382.428064865326,15408.0,15.408,15438.0,70.3088387130031,146.74285714285713,147.02857142857144,36.0613354403757,7.259287124988243,Unconstrained,Cost-min
Forecast carbon min,105.0,2100.0,10047.944814525055,13932.5,13.9325,13475.5,95.69471251928624,132.6904761904762,128.33809523809524,12.975491618115221,16.140317878303396,Unconstrained,Forecast-carbon
Balanced cost-carbon,105.0,2100.0,7479.89285792109,14701.5,14.7015,14687.5,71.23707483734371,140.0142857142857,139.88095238095238,35.21720006176983,11.511708830997836,Unconstrained,Balanced
Cost-min constrained,105.0,2100.0,7428.337026982047,15412.3,15.4123,15439.1,70.74606692363854,146.7838095238095,147.03904761904764,35.663721308105096,7.233405435907087,Constrained,Cost-min
Forecast-carbon constrained,105.0,2100.0,10036.989814525055,13931.0,13.931,13475.5,95.59037918595291,132.67619047619047,128.33809523809524,13.070372064507144,16.149346374494495,Constrained,Forecast-carbon
Balanced constrained,105.0,2100.0,7512.18189580437,14754.0,14.754,14714.300000000001,71.54458948385114,140.5142857142857,140.13619047619048,34.937547087974174,11.195711464309225,Constrained,Balanced
